time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
1.525015,0.050000,0.000000,-2.541173,-1.494592
1.530015,0.050000,0.000000,-2.525400,-1.482032
1.535016,0.050000,0.000000,-2.509625,-1.463191
1.540016,0.050000,0.000000,-2.493850,-1.450630
1.545016,0.050000,0.000000,-2.478077,-1.431789
1.550016,0.050000,0.000000,-2.462309,-1.419229
1.555017,0.050000,0.000000,-2.446546,-1.400388
1.560017,0.050000,0.000000,-2.430787,-1.387827
1.565017,0.050000,0.000000,-2.415031,-1.368986
1.570017,0.050000,0.000000,-2.399279,-1.356426
1.575018,0.050000,0.000000,-2.383530,-1.337585
1.580018,0.050000,0.000000,-2.367782,-1.325024
1.585018,0.050000,0.000000,-2.352035,-1.306184
1.590018,0.050000,0.000000,-2.336290,-1.293623
1.595019,0.050000,0.000000,-2.320550,-1.274782
1.600019,0.050000,0.000000,-2.304813,-1.262221
1.605019,0.050000,0.000000,-2.289079,-1.243381
1.610019,0.050000,0.000000,-2.273349,-1.230820
1.615019,0.050000,0.000000,-2.257620,-1.211979
1.620020,0.050000,0.000000,-2.241892,-1.199419
1.625020,0.050000,0.000000,-2.226165,-1.180578
1.630020,0.050000,0.000000,-2.210438,-1.168017
1.635020,0.050000,0.000000,-2.194710,-1.149176
1.640021,0.050000,0.000000,-2.178976,-1.136616
1.645021,0.050000,0.000000,-2.163236,-1.117775
1.650021,0.050000,0.000000,-2.147490,-1.105214
1.655021,0.050000,0.000000,-2.131738,-1.086373
1.660022,0.050000,0.000000,-2.115986,-1.073813
1.665022,0.050000,0.000000,-2.100230,-1.054972
1.670022,0.050000,0.000000,-2.084468,-1.042411
1.675022,0.050000,0.000000,-2.068700,-1.023570
1.680022,0.050000,0.000000,-2.052924,-1.011010
1.685023,0.050000,0.000000,-2.037140,-0.992169
1.690023,0.050000,0.000000,-2.021356,-0.979608
1.695023,0.050000,0.000000,-2.005571,-0.960767
1.700023,0.050000,0.000000,-1.989786,-0.948207
1.705024,0.050000,0.000000,-1.974005,-0.929366
1.710024,0.050000,0.000000,-1.958229,-0.916805
1.715024,0.050000,0.000000,-1.942457,-0.897964
1.720024,0.050000,0.000000,-1.926691,-0.885404
1.725025,0.050000,0.000000,-1.910931,-0.866563
1.730025,0.050000,0.000000,-1.895169,-0.854002
1.735025,0.050000,0.000000,-1.879403,-0.835162
1.740025,0.050000,0.000000,-1.863639,-0.822601
1.745026,0.050000,0.000000,-1.847877,-0.803760
1.750026,0.050000,0.000000,-1.832116,-0.791199
1.755026,0.050000,0.000000,-1.816355,-0.772359
1.760026,0.050000,0.000000,-1.800595,-0.759798
1.765026,0.050000,0.000000,-1.784837,-0.740957
1.770027,0.050000,0.000000,-1.769088,-0.728397
1.775027,0.050000,0.000000,-1.753350,-0.709556
1.780027,0.050000,0.000000,-1.737620,-0.696995
1.785027,0.050000,0.000000,-1.721894,-0.678154
1.790028,0.050000,0.000000,-1.706168,-0.665594
1.795028,0.050000,0.000000,-1.690439,-0.646753
1.800028,0.050000,0.000000,-1.674708,-0.634192
1.805028,0.050000,0.000000,-1.658974,-0.615351
1.810029,0.050000,0.000000,-1.643245,-0.602791
1.815029,0.050000,0.000000,-1.627524,-0.583950
1.820029,0.050000,0.000000,-1.611806,-0.571389
1.825029,0.050000,0.000000,-1.596086,-0.552548
1.830029,0.050000,0.000000,-1.580366,-0.539988
1.835030,0.050000,0.000000,-1.564643,-0.521147
1.840030,0.050000,0.000000,-1.548918,-0.508586
1.845030,0.050000,0.000000,-1.533188,-0.489745
1.850030,0.050000,0.000000,-1.517454,-0.477185
1.855031,0.050000,0.000000,-1.501716,-0.458344
1.860031,0.050000,0.000000,-1.485973,-0.445783
1.865031,0.050000,0.000000,-1.470222,-0.426942
1.870031,0.050000,0.000000,-1.454469,-0.414382
1.875032,0.050000,0.000000,-1.438717,-0.395541
1.880032,0.050000,0.000000,-1.422967,-0.382980
1.885032,0.050000,0.000000,-1.407219,-0.364140
1.890032,0.050000,0.000000,-1.391474,-0.351579
1.895033,0.050000,0.000000,-1.375733,-0.332738
1.900033,0.050000,0.000000,-1.360001,-0.320177
1.905033,0.050000,0.000000,-1.344278,-0.301337
1.910033,0.050000,0.000000,-1.328562,-0.288776
